language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.03 s (3416.7 files/s 676129.2 lines/s)"
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/tabs.tsx,6,0,47
Markdown,./application/foodtrace-ledger-supply/README.md,28,0,45
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/avatar.tsx,5,0,43
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/scroll-area.tsx,4,0,42
TypeScript,./application/foodtrace-ledger-supply/src/hooks/use-my-shipments.ts,6,0,42
TypeScript,./application/foodtrace-ledger-supply/src/components/RouteMapInput.tsx,6,0,39
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/radio-group.tsx,4,0,38
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/resizable.tsx,5,0,38
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/toggle.tsx,5,0,38
CSS,./application/foodtrace-ledger-supply/src/App.css,5,0,37
TypeScript,./application/foodtrace-ledger-supply/src/components/ShipmentMapView.tsx,5,0,33
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/badge.tsx,5,0,31
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/toaster.tsx,2,0,31
JavaScript,./application/foodtrace-ledger-supply/eslint.config.js,1,0,28
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/separator.tsx,3,0,26
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/checkbox.tsx,3,0,25
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/sonner.tsx,4,0,25
TypeScript,./application/foodtrace-ledger-supply/src/pages/Index.tsx,6,0,25
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/popover.tsx,5,0,24
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/switch.tsx,3,0,24
Markdown,./README.md,8,0,23
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/progress.tsx,3,0,23
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/slider.tsx,3,0,23
TypeScript,./application/foodtrace-ledger-supply/src/pages/NotFound.tsx,4,0,23
Python,./ipfstest.py,4,2,23
HTML,./application/foodtrace-ledger-supply/index.html,3,1,22
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/hover-card.tsx,5,0,22
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/tooltip.tsx,6,0,22
TypeScript,./application/foodtrace-ledger-supply/src/hooks/use-aliases.ts,3,0,22
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/label.tsx,4,0,20
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/textarea.tsx,4,0,20
TypeScript,./application/foodtrace-ledger-supply/vite.config.ts,1,1,20
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/input.tsx,3,0,19
TypeScript,./application/foodtrace-ledger-supply/src/hooks/use-mobile.tsx,4,0,15
Go,./chaincode/main.go,3,0,14
Go,./chaincode/model/identities.go,2,2,14
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/skeleton.tsx,2,0,13
TypeScript,./application/foodtrace-ledger-supply/src/components/QrCodeDisplay.tsx,3,0,12
JavaScript,./application/foodtrace-ledger-supply/postcss.config.js,0,0,6
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/collapsible.tsx,4,0,5
TypeScript,./application/foodtrace-ledger-supply/src/lib/utils.ts,1,0,5
TypeScript,./application/foodtrace-ledger-supply/src/main.tsx,1,0,5
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/aspect-ratio.tsx,2,0,3
TypeScript,./application/foodtrace-ledger-supply/src/components/ui/use-toast.ts,1,0,2
TypeScript,./application/foodtrace-ledger-supply/src/vite-env.d.ts,0,1,0
SUM,,2526,724,20299
